ckpt,held_out,M,n_clips,cpd,cfv
ckpt_casg_ast_AKGC417L_seed0_casg_lite.pt,AKGC417L,16,1200,0.0071275210939347,0.0103829810395836
ckpt_casg_ast_AKGC417L_seed0_cf_physics.pt,AKGC417L,16,1200,0.0165071003139019,0.0230419002473354
ckpt_casg_ast_AKGC417L_seed1_casg_lite.pt,AKGC417L,16,1200,0.0071302517317235,0.0111374882981181
ckpt_casg_ast_AKGC417L_seed1_cf_physics.pt,AKGC417L,16,1200,0.0110705029219388,0.0165402572602033
ckpt_casg_ast_AKGC417L_seed2_casg_lite.pt,AKGC417L,16,1200,0.004191905260086,0.0062970779836177
ckpt_casg_ast_AKGC417L_seed2_cf_physics.pt,AKGC417L,16,1200,0.0041910009458661,0.00629563909024
ckpt_erm_ast_AKGC417L_seed0_phys.pt,AKGC417L,16,1200,0.0151143930852413,0.020117200911045
ckpt_erm_ast_AKGC417L_seed1_phys.pt,AKGC417L,16,1200,0.0113898981362581,0.0151451742276549
ckpt_erm_ast_AKGC417L_seed2_phys.pt,AKGC417L,16,1200,0.0191106386482715,0.0238411594182252
ckpt_mixstyle_ast_AKGC417L_seed0_phys.pt,AKGC417L,16,1200,0.0235890392214059,0.0274735260754823
ckpt_mixstyle_ast_AKGC417L_seed1_phys.pt,AKGC417L,16,1200,0.0100261652842164,0.0133500434458255
ckpt_mixstyle_ast_AKGC417L_seed2_phys.pt,AKGC417L,16,1200,0.014184090308845,0.0169036891311407
ckpt_casg_ast_Meditron_seed0_casg_lite.pt,Meditron,16,1200,0.0108706457540392,0.0150507511571049
ckpt_casg_ast_Meditron_seed0_cf_physics.pt,Meditron,16,1200,0.0068558794446289,0.009497663937509
ckpt_casg_ast_Meditron_seed1_casg_lite.pt,Meditron,16,1200,0.005775025114417,0.0084901843219995
ckpt_casg_ast_Meditron_seed1_cf_physics.pt,Meditron,16,1200,0.0096408417448401,0.0130662946030497
ckpt_casg_ast_Meditron_seed2_casg_lite.pt,Meditron,16,1200,0.0084586404263973,0.0122022023424506
ckpt_casg_ast_Meditron_seed2_cf_physics.pt,Meditron,16,1200,0.0110662309452891,0.0159963890910148
ckpt_erm_ast_Meditron_seed0_phys.pt,Meditron,16,1200,0.0151717523112893,0.0199486408382654
ckpt_erm_ast_Meditron_seed1_phys.pt,Meditron,16,1200,0.0261685028672218,0.030457766726613
ckpt_erm_ast_Meditron_seed2_phys.pt,Meditron,16,1200,0.0291050747036933,0.0325048416852951
ckpt_mixstyle_ast_Meditron_seed0_phys.pt,Meditron,16,1200,0.0207758527249097,0.02567970007658
ckpt_mixstyle_ast_Meditron_seed1_phys.pt,Meditron,16,1200,0.0165830142796039,0.0192180089652538
ckpt_mixstyle_ast_Meditron_seed2_phys.pt,Meditron,16,1200,0.0133203845471143,0.0166498497128486
ckpt_casg_ast_LittC2SE_seed0_casg_lite.pt,LittC2SE,16,575,0.0099302884191274,0.0147715080529451
ckpt_casg_ast_LittC2SE_seed0_cf_physics.pt,LittC2SE,16,575,0.0053303209133446,0.0082808183506131
ckpt_casg_ast_LittC2SE_seed1_casg_lite.pt,LittC2SE,16,575,0.0070235333405435,0.0095367282629013
