method,train_fold,seed,auroc,auprc,ece,n
CASG-Lite,AKGC417L,0,0.8452897766210676,0.4947158157160646,0.28405618595235654,4180
CASG-Lite,AKGC417L,1,0.8208645169865604,0.4583705622856618,0.29991704904469857,4180
CASG-Lite,AKGC417L,2,0.8519098938022869,0.5144154643411409,0.41000897814497417,4180
CASG-Lite,Meditron,0,0.8091978467468598,0.4424574751197133,0.2708918971700246,4180
CASG-Lite,Meditron,1,0.8504056465369084,0.5026580422911224,0.42432737877886545,4180
CASG-Lite,Meditron,2,0.8362235604425131,0.46023526776424417,0.2667402746432136,4180
CASG-Lite,LittC2SE,0,0.7892310187934436,0.4388738451235326,0.1956237033918571,4180
CASG-Lite,LittC2SE,1,0.8131181795249437,0.4657968993213495,0.2523909343540241,4180
CASG-Lite,LittC2SE,2,0.8396157988124665,0.5109600184593215,0.3425675877828918,4180
CASG-Lite,Litt3200,0,0.8522693410110685,0.5065092431593716,0.36108247409953453,4180
CASG-Lite,Litt3200,1,0.8376606346708628,0.4941704082511513,0.33413131829511605,4180
CASG-Lite,Litt3200,2,0.8127630199568234,0.4228624246287425,0.24831428039622935,4180
CASG-Lite,smartphone,0,0.8072869882254241,0.44755965212169885,0.4654740894953029,4180
CASG-Lite,smartphone,1,0.83292815129083,0.49241499035947417,0.3815994368162024,4180
CASG-Lite,smartphone,2,0.7814818229047193,0.40628731127072,0.5052099853005421,4180
CASG-Lite,none,0,0.8046057835984882,0.4429401119701792,0.3112835041679549,4180
CASG-Lite,none,1,0.8128466289497209,0.4706336456019127,0.29166966666195665,4180
CASG-Lite,none,2,0.8623506561162122,0.5391780509534785,0.4643710725936307,4180
CF-only-Physics,AKGC417L,0,0.8390994954161548,0.48425094612809777,0.17419857444001013,4180
CF-only-Physics,AKGC417L,1,0.8246447868363714,0.43413165557351086,0.2692511526858835,4180
CF-only-Physics,AKGC417L,2,0.8519692061647698,0.5144921833436132,0.410068688120996,4180
CF-only-Physics,Meditron,0,0.8666165012709282,0.5437259515989774,0.4311120064028998,4180
CF-only-Physics,Meditron,1,0.8149118425349675,0.41837867560914105,0.35143856594437045,4180
CF-only-Physics,Meditron,2,0.8344620547374499,0.47889933762269904,0.18393431194483095,4180
CF-only-Physics,LittC2SE,0,0.8430480551619263,0.4993286179045484,0.309134791115896,4180
CF-only-Physics,LittC2SE,1,0.82588605880785,0.4678204092780862,0.26999294513471106,4180
CF-only-Physics,LittC2SE,2,0.8110715457158967,0.4544896425171458,0.26517166911878365,4180
CF-only-Physics,Litt3200,0,0.82734385663273,0.4824473670097775,0.30610738270626403,4180
CF-only-Physics,Litt3200,1,0.8543581366199529,0.5150352947118435,0.37467405325131553,4180
CF-only-Physics,Litt3200,2,0.8059778286101399,0.42718693389951845,0.18154776462990985,4180
CF-only-Physics,smartphone,0,0.8288088005253789,0.42277918187837676,0.5121450271903043,4180
CF-only-Physics,smartphone,1,0.8023951475341421,0.4279670028307693,0.4834068557149485,4180
CF-only-Physics,smartphone,2,0.8341390524742902,0.4566404375212261,0.38798101101444954,4180
CF-only-Physics,none,0,0.8347793401463943,0.44103604946171965,0.3205957343169091,4180
CF-only-Physics,none,1,0.8136276941568747,0.46039634748796116,0.22173775112051428,4180
CF-only-Physics,none,2,0.8264234431040803,0.4577718224261276,0.3533797065660571,4180
ERM-Physics,AKGC417L,0,0.8081831051236591,0.4485227671355013,0.21755047807225997,4180
ERM-Physics,AKGC417L,1,0.8440677990325653,0.4820915384078995,0.29526086105523924,4180
ERM-Physics,AKGC417L,2,0.8164682560950598,0.3787511334355058,0.25356823619027313,4180
ERM-Physics,Meditron,0,0.8379950706424529,0.4963735426775769,0.30129584573570234,4180
ERM-Physics,Meditron,1,0.828757348837442,0.4567789530753023,0.13732793130408838,4180
ERM-Physics,Meditron,2,0.8223273170588786,0.4600989064892615,0.20972078492010374,4180
ERM-Physics,LittC2SE,0,0.8199433888511338,0.4174879254245132,0.10296608827691793,4180
ERM-Physics,LittC2SE,1,0.8440767316172766,0.4376226034755756,0.13131956151127788,4180
ERM-Physics,LittC2SE,2,0.8390669808078058,0.5083300601924492,0.193943862150251,4180
ERM-Physics,Litt3200,0,0.8196957776029373,0.45492473414211176,0.1182942061050947,4180
ERM-Physics,Litt3200,1,0.840311111206392,0.45955560746614754,0.13579288909924242,4180
ERM-Physics,Litt3200,2,0.840562295488473,0.48198622804899693,0.2743230450955224,4180
ERM-Physics,smartphone,0,0.7685724514799863,0.3441010364873287,0.3017128512541212,4180
ERM-Physics,smartphone,1,0.799405590082973,0.35583674197802273,0.2668835870436733,4180
ERM-Physics,smartphone,2,0.8131489076163505,0.42791499422623436,0.267269358066898,4180
ERM-Physics,none,0,0.8438262619419725,0.46254197196039804,0.24158921581832943,4180
ERM-Physics,none,1,0.8290882117751476,0.41293341103274006,0.35417292939095746,4180
ERM-Physics,none,2,0.8302201489097601,0.434040981392343,0.13657271037879176,4180
MixStyle-Physics,AKGC417L,0,0.8344884951881952,0.45702587606401235,0.1150029877199008,4180
MixStyle-Physics,AKGC417L,1,0.8439113001484239,0.4990159299562106,0.32745583508315196,4180
MixStyle-Physics,AKGC417L,2,0.8383245043666047,0.4723318056086334,0.41803049269738346,4180
MixStyle-Physics,Meditron,0,0.8306024635354027,0.40725968910329735,0.23446958339779386,4180
MixStyle-Physics,Meditron,1,0.8179842943722573,0.4441992811015032,0.31972291215546267,4180
MixStyle-Physics,Meditron,2,0.8518945297565835,0.5123000499690178,0.26345194884682843,4180
MixStyle-Physics,LittC2SE,0,0.8293576185300395,0.4655574251767914,0.22623832117931575,4180
MixStyle-Physics,LittC2SE,1,0.8131138918842823,0.4206351928034307,0.19000003423259657,4180
MixStyle-Physics,LittC2SE,2,0.8423852573763498,0.4818630969929425,0.16558444220471752,4180
MixStyle-Physics,Litt3200,0,0.7805753442082193,0.40491564501677124,0.14139978281162335,4180
MixStyle-Physics,Litt3200,1,0.8423788259153577,0.4701315516374249,0.18781727526404307,4180
MixStyle-Physics,Litt3200,2,0.841207228104627,0.4495282651932847,0.18053398784864821,4180
MixStyle-Physics,smartphone,0,0.7931063313445826,0.3693197049593996,0.3733464139905529,4180
MixStyle-Physics,smartphone,1,0.8341712097792509,0.4672525557170459,0.23166496347353022,4180
MixStyle-Physics,smartphone,2,0.8018138149211325,0.3850738510344998,0.26544576617641236,4180
MixStyle-Physics,none,0,0.8459250620457334,0.48414025987757486,0.28775385709299256,4180
MixStyle-Physics,none,1,0.8049487948514011,0.45722304486210563,0.165630547289683,4180
MixStyle-Physics,none,2,0.8387550549496882,0.44156545485835513,0.1742451934168405,4180
